fromNodeId,toNodeId,weight
73,74,17
73,79,38
86,66,22
86,80,17
86,89,25
86,94,39
76,69,21
76,77,25
76,88,24
76,198,32
83,69,49
83,88,19
83,92,17
93,70,25
93,81,12
93,92,24
72,71,32
72,317,2
72,318,20
319,71,40
319,320,12
319,4052,50
318,72,45
74,73,46
79,73,40
79,81,4
79,89,18
82,75,24
82,78,16
82,87,23
82,106,26
88,76,48
88,83,29
88,96,18
88,387,11
198,76,48
198,197,9
198,10925,37
197,77,36
197,198,50
197,387,11
89,79,13
89,86,26
89,95,36
89,97,12
87,80,29
87,82,7
87,94,21
87,99,7
95,81,24
95,89,10
95,101,23
95,102,44
106,82,22
106,105,47
92,83,34
92,93,45
92,96,43
92,98,2
84,85,19
84,352,42
84,9833,19
85,84,17
85,853,39
85,895,5
352,84,50
9833,84,49
9833,907,6
9833,7597,40
9833,9836,37
853,85,32
895,85,20
895,896,7
895,2726,42
94,86,26
94,87,22
94,97,8
94,108,39
99,87,7
99,100,8
99,105,6
99,3558,47
96,88,17
96,92,35
96,103,16
96,104,7
387,88,18
387,197,5
97,89,4
97,94,6
97,102,29
97,107,21
90,91,3
90,297,40
90,400,48
90,1520,40
90,1642,38
91,90,42
91,295,35
91,297,50
91,345,42
297,90,24
297,91,18
297,257,11
297,293,9
1520,90,12
400,90,37
400,397,50
400,1642,50
1642,90,45
1642,400,16
1642,5901,50
295,91,44
295,296,48
295,298,22
295,382,20
345,91,18
345,344,33
345,382,33
345,403,35
98,92,33
98,101,7
98,104,24
108,94,15
108,100,27
108,107,47
108,110,37
101,95,25
101,98,1
101,112,48
101,2339,40
102,95,34
102,97,5
102,111,42
102,113,45
103,96,45
103,115,44
103,124,47
104,96,48
104,98,43
104,115,12
104,120,6
107,97,24
107,108,47
107,113,2
107,346,37
100,99,34
100,108,16
100,109,36
105,99,3
105,106,13
105,9062,34
3558,99,27
109,100,1
109,110,7
109,118,45
2339,101,13
2339,112,10
2339,120,36
112,101,41
112,111,45
112,2339,43
111,102,47
111,112,7
111,119,24
111,122,21
113,102,48
113,107,13
113,114,48
113,121,36
115,103,19
115,104,37
115,120,13
115,123,39
115,128,29
124,103,19
124,123,31
124,347,43
120,104,35
120,115,12
120,119,49
120,2339,27
9062,105,40
9062,117,22
346,107,48
346,110,33
110,108,23
110,109,16
110,346,5
118,109,50
118,116,19
119,111,50
119,120,13
119,125,20
122,111,3
122,121,25
122,125,49
122,127,29
114,113,20
121,113,17
121,122,4
121,126,27
123,115,11
123,124,41
123,136,44
128,115,11
128,125,41
128,138,40
116,117,19
116,118,11
116,133,40
117,116,12
117,9062,33
133,116,28
125,119,22
125,122,32
125,128,16
125,129,32
126,121,22
126,127,22
126,130,30
127,122,48
127,126,28
127,129,21
127,134,12
136,123,43
136,135,31
136,347,24
347,124,2
347,136,19
129,125,31
129,127,18
129,137,1
130,126,38
130,131,24
130,134,16
134,127,15
134,130,3
134,137,28
134,142,1
138,128,28
138,137,16
138,144,12
138,8855,19
137,129,38
137,134,49
137,138,29
137,145,8
131,130,25
151,132,34
151,153,5
151,156,28
152,132,44
152,153,3
152,154,39
142,134,41
142,141,4
142,145,16
135,136,5
135,284,11
135,8946,3
284,135,8
284,275,26
284,406,2
284,1059853,41
8946,135,23
8946,411,3
8946,2342,17
8946,8947,8
145,137,30
145,142,39
145,143,21
144,138,32
144,143,34
144,177,46
144,8862,30
8855,138,12
8855,140,35
8855,8862,41
139,140,32
139,2342,10
139,8862,49
140,139,41
140,8855,15
2342,139,45
2342,8946,17
8862,139,32
8862,144,42
8862,8855,3
8862,9824,10
141,142,41
141,143,11
141,325,7
143,141,2
143,144,20
143,145,4
325,141,27
325,324,12
325,8951,6
177,144,43
146,147,42
146,148,29
146,149,34
147,146,26
147,148,26
147,150,31
147,412,15
148,146,39
148,147,5
148,278,14
148,324,2
149,146,5
149,150,35
149,161,9
412,147,34
412,322,41
412,10926,44
150,147,33
150,149,30
150,406,34
150,411,40
324,148,9
324,322,44
324,325,28
161,149,6
161,175,41
161,328,19
411,150,50
411,8946,45
411,8949,2
406,150,30
406,284,2
406,285,6
156,151,50
156,155,25
156,278,46
156,4323,46
153,151,10
153,152,25
153,154,4
153,8945,20
154,152,5
154,153,47
8945,153,40
155,156,37
155,157,16
155,166,8
157,155,12
157,162,4
157,170,40
166,155,1
166,165,3
166,332,37
4323,156,15
4323,4091,27
4323,4138,21
162,157,48
170,157,9
170,171,42
170,4137,6
158,159,23
158,160,15
158,280,4
159,158,44
159,280,47
159,282,24
160,158,33
280,158,14
280,159,46
280,281,26
280,1059924,36
282,159,33
282,283,39
175,161,23
175,173,29
175,178,20
328,161,37
328,327,6
328,4478,10
328,8933,16
163,164,37
163,165,38
163,180,12
164,163,22
164,180,43
164,327,13
165,163,29
165,166,45
165,171,5
180,163,50
180,164,17
180,179,41
327,164,43
327,328,23
327,329,42
327,4477,44
171,165,32
171,170,27
171,4139,8
332,166,36
167,168,47
167,169,3
167,172,42
168,167,24
168,281,2
168,286,10
168,1059923,23
169,167,22
172,167,12
172,176,31
172,292,15
286,168,18
286,292,13
286,1060295,16
281,168,12
281,280,24
281,1059924,39
1059923,168,3
1059923,1059924,12
1059923,1059925,43
1059923,1059965,20
4137,170,1
4137,4138,27
4137,4150,6
4139,171,22
4139,334,25
4139,4502,11
176,172,11
176,173,6
176,178,22
292,172,6
292,286,19
292,291,41
292,1059987,26
173,174,20
173,175,21
173,176,2
174,173,22
178,175,27
178,176,41
178,181,28
181,178,39
181,182,2
181,183,22
179,180,39
179,184,46
179,185,13
184,179,38
185,179,44
185,183,44
185,186,5
182,181,13
183,181,5
183,185,36
183,291,29
291,183,20
291,289,1
291,292,48
291,1060013,10
186,185,49
186,187,29
186,188,3
187,186,32
187,333,13
187,336,7
188,186,41
188,194,31
188,289,33
333,187,48
333,334,29
333,335,37
336,187,45
194,188,40
194,195,37
194,361,34
289,188,40
289,291,39
289,362,32
289,1060014,41
189,190,36
189,191,45
189,193,4
190,189,21
190,5294,33
190,5297,4
191,189,22
191,4444,30
191,4454,23
193,189,49
193,192,5
193,9967,7
5294,190,36
5294,10525,15
5294,10937,2
5297,190,48
5297,4356,16
5297,4444,47
5297,10525,9
4454,191,45
4454,4356,15
4454,4506,28
4444,191,26
4444,4356,33
4444,5297,25
4444,10526,46
192,193,47
192,196,14
192,10687,29
196,192,4
196,195,32
196,10400,50
10687,192,47
10687,4212,32
10687,10696,35
9967,193,30
9967,9968,46
9967,10417,23
195,194,41
195,196,28
195,338,37
361,194,27
361,200,12
361,362,1
361,377,18
338,195,38
338,337,18
338,9407,42
10400,196,40
10400,10417,29
10925,198,38
199,200,19
199,205,11
199,206,48
200,199,11
200,361,17
200,373,17
200,376,16
206,199,38
206,207,39
206,210,33
205,199,7
205,204,29
373,200,41
373,290,23
373,374,50
373,375,47
376,200,1
376,207,11
376,377,15
376,391,16
201,202,13
201,203,46
201,204,19
201,213,23
202,201,31
202,208,3
202,383,47
203,201,47
203,383,3
204,201,41
204,205,38
204,210,15
204,212,44
213,201,10
213,208,24
213,212,22
213,222,33
208,202,37
208,209,19
208,213,12
208,214,23
383,202,45
383,203,20
210,204,30
210,206,5
210,211,33
210,215,8
212,204,2
212,213,50
212,215,15
212,221,37
207,206,13
207,376,32
207,1203,34
1203,207,20
1203,211,28
1203,360,8
209,208,38
209,287,50
209,288,29
209,290,21
214,208,10
214,222,3
214,299,6
287,209,4
287,290,15
287,372,42
287,1060078,38
288,209,27
288,298,23
288,302,28
290,209,11
290,287,35
290,373,29
290,375,7
211,210,14
211,220,16
211,223,6
211,1203,9
215,210,23
215,212,4
215,223,48
215,226,9
223,211,39
223,215,17
223,229,32
223,231,41
220,211,9
220,218,9
220,231,25
220,360,1
221,212,11
221,222,35
221,226,29
221,243,23
222,213,15
222,214,38
222,221,24
299,214,26
299,243,41
299,298,40
226,215,43
226,221,21
226,229,24
226,350,46
216,217,4
216,225,16
216,227,1
216,10893,50
217,216,42
217,219,33
217,224,5
225,216,28
225,228,37
225,233,42
227,216,20
227,224,25
227,233,38
227,236,24
10893,216,10
224,217,24
224,218,21
224,227,9
224,234,18
219,217,9
219,218,36
219,360,10
218,219,15
218,220,32
218,224,22
218,230,23
230,218,41
230,231,45
230,234,16
230,237,10
360,219,22
360,220,36
360,1203,37
231,220,45
231,223,26
231,230,1
231,238,37
243,221,42
243,241,1
243,299,12
243,350,1
229,223,29
229,226,24
229,238,41
234,224,38
234,230,19
234,236,22
234,239,31
228,225,34
228,232,2
228,235,35
233,225,6
233,227,5
233,235,49
233,240,24
350,226,6
350,242,37
350,243,47
350,351,17
236,227,15
236,234,44
236,240,20
232,228,41
232,1355,21
232,1380,7
235,228,11
235,233,39
235,244,24
238,229,16
238,231,36
238,237,12
237,230,21
237,238,10
237,239,45
237,343,13
1355,232,41
1380,232,48
240,233,26
240,236,30
240,244,18
240,245,43
239,234,10
239,237,9
239,245,35
239,264,38
244,235,16
244,240,14
244,246,25
244,357,10
343,237,37
245,239,14
245,240,37
245,246,6
264,239,39
264,265,38
264,397,37
264,4374,24
241,242,41
241,243,49
241,296,34
242,241,35
242,350,33
242,356,42
296,241,11
296,295,8
296,384,11
356,242,43
357,244,19
357,248,13
357,359,50
246,244,17
246,245,29
246,359,22
359,246,5
359,357,5
359,358,4
247,248,20
247,249,5
247,259,14
247,405,15
248,247,27
248,357,28
248,358,6
249,247,1
249,250,18
249,251,29
259,247,5
259,258,34
259,1371,12
405,247,15
405,250,45
405,391,12
358,248,36
358,359,7
250,249,17
250,263,2
250,405,5
250,4211,22
251,249,40
251,258,32
251,263,23
4211,250,13
4211,4207,38
4211,4212,14
263,250,31
263,251,6
263,262,32
263,4245,40
258,251,33
258,259,30
258,265,39
252,253,2
252,254,8
252,256,33
253,252,25
253,294,39
253,10841,50
254,252,42
254,10755,43
254,10757,44
256,252,7
256,255,33
256,293,25
256,341,38
294,253,25
294,293,34
294,10841,13
10841,253,20
10841,294,23
10841,10756,34
10755,254,25
10755,10756,45
10755,10757,37
10757,254,34
10757,10755,4
10757,10941,50
255,256,24
255,257,45
255,260,24
257,255,18
257,297,41
257,10721,21
260,255,27
260,261,47
260,340,15
293,256,41
293,294,45
293,297,42
293,10721,9
341,256,11
341,340,7
341,342,45
341,416,17
10721,257,33
10721,293,35
265,258,18
265,264,7
265,1371,7
1371,259,1
1371,265,42
1371,1372,8
261,260,19
261,344,13
340,260,1
340,341,23
340,348,19
344,261,23
344,345,15
262,263,5
4245,263,2
4245,4243,38
4245,4244,4
4245,4374,26
397,264,3
397,400,32
397,420,12
4374,264,24
4374,525,20
4374,4245,34
4374,7666,26
267,268,37
267,269,42
267,306,2
267,321,2
268,267,43
268,269,30
268,321,22
268,1410,43
306,267,31
306,1401,11
306,10470,50
269,267,17
269,268,6
269,321,23
269,1400,17
321,267,48
321,268,10
321,269,16
1410,268,14
1410,1391,34
1410,1409,15
1410,1416,41
1400,269,17
1400,1401,13
1400,1591,44
270,271,20
270,272,41
270,404,23
270,1666,48
271,270,42
271,595,19
271,10476,17
272,270,15
272,595,28
272,10109,1
404,270,12
404,407,9
404,425,14
404,1398,3
1666,270,42
1666,1665,3
1666,1746,12
1666,10109,45
595,271,33
595,272,1
595,1386,49
10476,271,19
10476,1394,27
10109,272,47
10109,1666,28
10109,10108,24
10109,388461,31
3861,273,16
3861,4285,16
3861,4286,10
3862,273,24
3862,274,45
3862,448,32
3862,1068258,49
3872,273,7
3872,389,41
3872,3871,13
3872,4286,6
1060215,274,46
1060215,1059684,34
1060215,1060202,16
1060215,1087433,22
276,275,17
276,313,15
276,1059812,11
1059812,276,42
1059812,1059803,15
1059812,1059811,9
1059812,1060231,3
326,277,20
1059924,280,15
1059924,281,13
1059924,1059923,45
1059924,1059925,49
283,282,25
283,285,38
283,1059870,43
285,283,14
285,406,45
1059870,283,45
1059870,1059853,43
1059870,1059873,5
1059853,284,12
1059853,1059852,47
1059853,1059870,19
1060295,286,37
1060295,1059965,33
1060295,1059988,42
1060295,1060035,19
372,287,24
372,371,10
1060078,287,27
1060078,1060015,44
1060078,1060079,16
298,288,22
298,295,43
298,299,5
298,803,41
302,288,10
302,300,1
302,371,22
302,401,47
362,289,17
362,361,11
362,367,50
1060014,289,33
1060014,1060013,40
1060014,1060404,22
375,290,25
375,373,1
375,374,7
1060013,291,32
1060013,1060014,22
1060013,1060015,30
1059987,292,41
1059987,1059988,34
1059987,1059992,5
382,295,30
382,345,20
382,802,4
384,296,37
803,298,22
803,402,41
803,841,17
300,301,39
300,302,21
300,368,36
300,370,26
301,300,26
301,401,43
301,1075,32
368,300,42
368,369,19
368,370,42
370,300,41
370,368,35
370,371,17
370,1062480,47
401,301,9
401,302,30
401,402,16
401,825,21
1075,301,38
1075,1020,25
1075,1570,38
371,302,10
371,370,17
371,372,4
304,303,33
304,4027,5
304,7600,9
7600,304,19
10470,306,48
10470,1398,33
10470,10471,40
1401,306,20
1401,1400,25
1401,10471,23
307,308,14
307,4114,37
307,4479,48
307,4579,48
308,307,47
308,10614,20
4114,307,5
4114,4069,34
4114,4115,9
4479,307,39
4479,4110,32
4479,4480,37
4579,307,47
4579,4577,43
4579,4578,1
10614,308,45
10614,4070,45
10614,10699,33
1060390,309,7
1060390,1087546,41
1060390,1087547,11
311,310,41
311,10464,13
1059823,313,12
315,314,41
316,314,11
4041,317,28
4041,4012,49
4041,4400,26
4055,317,17
4055,4054,44
4055,4401,38
320,319,21
4052,319,32
4052,4053,50
4052,4066,43
322,323,11
322,324,22
322,412,40
323,322,44
8951,325,7
8951,9403,34
8951,9404,7
329,327,49
329,330,2
329,4144,26
4477,327,37
4477,4478,15
4477,10758,45
8933,328,24
8933,8776,49
8933,8931,25
4478,328,37
4478,4477,40
4478,10758,24
330,329,15
330,331,4
4144,329,46
4144,10015,39
331,330,8
331,8775,39
8775,331,38
8775,8776,42
8775,8931,46
334,333,6
334,4139,11
334,4149,39
335,333,44
4149,334,5
4149,4150,16
4149,4503,5
4149,10506,27
337,338,29
337,339,7
337,377,31
339,337,28
377,337,15
377,361,10
377,376,47
377,391,40
9407,338,37
348,340,46
348,349,18
348,416,14
342,341,42
416,341,4
416,348,40
416,415,39
416,488,41
403,345,47
403,825,37
403,841,47
403,1020,15
349,348,5
351,350,15
353,354,48
353,355,31
353,7831,37
354,353,36
354,508,45
354,509,34
355,353,49
7831,353,21
7831,7849,30
7831,8747,44
508,354,38
508,439,31
508,510,19
509,354,50
509,513,46
509,514,17
367,362,3
367,374,47
363,364,50
363,991,40
363,4116,26
364,363,17
364,1001,43
364,1009,4
364,8892,29
991,363,18
991,993,26
991,8464,43
4116,363,13
4116,4018,22
4116,8457,39
1001,364,20
1001,8447,28
1001,9077,24
1009,364,23
1009,1021,23
1009,1027,38
1009,1028,39
8892,364,12
365,366,40
365,5117,6
365,9332,23
365,10361,43
366,365,6
366,4109,39
366,4177,36
9332,365,20
9332,5854,16
9332,9331,33
10361,365,33
10361,5062,34
10361,5131,21
5117,365,10
5117,4891,10
5117,5854,45
4109,366,25
4177,366,29
374,367,5
374,373,28
374,375,27
369,368,39
369,419,50
369,486,32
419,369,45
419,417,29
419,486,39
419,487,27
486,369,9
486,419,42
486,487,23
486,1062480,9
1062480,370,43
1062480,486,46
1062480,1087517,23
391,376,23
391,377,9
391,405,9
378,379,17
378,4499,25
378,10425,22
379,378,35
4499,378,50
4499,4498,43
4499,10252,12
10425,378,35
380,381,11
380,1534,3
380,1539,34
380,1550,15
380,4585,23
381,380,36
381,1364,1
381,1550,32
381,10141,24
1539,380,28
1539,1540,44
1539,1541,45
1534,380,27
1534,1535,11
1534,1541,48
1550,380,39
1550,381,34
1550,1535,45
1550,1547,4
4585,380,21
4585,3471,42
4585,4588,23
4585,10141,50
1364,381,46
1364,1547,16
1364,1552,3
10141,381,14
10141,1640,42
10141,4585,28
10141,10142,37
802,382,43
802,920,41
802,992,42
385,386,7
385,390,5
385,392,41
386,385,1
386,410,39
386,630,28
386,631,22
390,385,23
390,392,18
390,410,35
390,2161,22
392,385,20
392,390,12
392,1327,28
630,386,35
630,631,19
630,686,22
630,10451,15
630,388440,38
631,386,32
631,630,10
631,707,13
631,388438,23
410,386,15
410,390,48
410,1769,26
410,2164,15
389,388,15
389,3872,15
389,3939,9
4006,388,38
4006,3998,13
4006,4004,48
4006,4294,32
4005,388,8
4005,3982,43
4005,4004,15
4005,4297,44
3939,389,28
3939,3873,16
3939,3938,50
3939,4290,8
2161,390,20
1327,392,32
1327,914,29
1327,1390,17
1327,1424,20
393,394,32
393,1095,1
393,1488,20
393,1699,8
394,393,21
394,398,6
394,1469,30
394,1488,36
1699,393,43
1699,1455,15
1699,1456,9
1095,393,23
1095,1096,31
1095,1463,10
1095,3473,30
1488,393,40
1488,394,40
1488,10810,39
1469,394,24
1469,1468,32
1469,1697,13
398,394,22
398,399,37
398,1468,31
398,10346,5
395,396,44
395,6485,46
395,6489,45
396,395,17
396,6484,16
396,6700,28
6485,395,49
6485,6486,10
6485,6489,26
6489,395,23
6489,6485,24
6489,6486,5
6484,396,45
6484,2680,22
6484,6526,35
6700,396,29
6700,6677,49
6700,6698,14
6700,6699,18
420,397,31
420,421,37
420,524,17
399,398,43
399,1467,27
399,1472,38
399,10810,15
1468,398,32
1468,1469,28
1468,10346,6
10346,398,48
10346,1468,13
10346,1472,38
10346,1697,28
1467,399,14
1467,1461,35
1467,1471,43
1472,399,41
1472,1471,39
1472,10346,33
10810,399,8
10810,1488,6
402,401,40
402,803,5
402,825,50
825,401,26
825,402,48
825,403,20
825,1020,16
1020,403,22
1020,825,30
1020,1075,36
841,403,41
841,803,12
841,1073,49
407,404,23
407,408,8
407,425,44
425,404,28
425,407,28
425,1396,14
1398,404,16
1398,5169,21
1398,10470,6
1398,10471,24
408,407,34
408,409,50
408,1386,12
409,408,26
409,1592,11
409,1667,29
409,389465,43
1386,408,2
1386,595,17
1386,1394,35
1386,389434,1
1667,409,50
1667,1421,46
1667,1592,22
1592,409,48
1592,1422,42
1592,1591,39
1592,1667,35
389465,409,2
2164,410,43
2164,680,28
2164,1785,18
2164,2162,48
1769,410,1
1769,1768,50
1769,10437,9
8949,411,5
8949,8833,29
8949,8947,39
10926,412,33
413,414,7
413,418,23
413,489,3
414,413,28
414,489,49
414,490,27
414,491,3
489,413,30
489,414,24
489,602,46
489,604,12
418,413,47
418,417,11
418,10837,6
490,414,31
490,491,37
490,603,50
490,1060395,24
491,414,44
491,490,17
491,596,4
415,416,31
415,421,45
415,422,34
422,415,50
422,426,30
421,415,9
421,420,21
421,504,33
488,416,43
488,424,43
488,428,18
417,418,1
417,419,39
417,505,3
505,417,31
505,494,43
505,506,16
10837,418,12
487,419,33
487,486,27
487,596,50
524,420,41
524,525,50
524,526,14
524,7705,18
504,421,38
426,422,7
426,427,13
423,424,16
423,428,3
423,430,48
424,423,23
424,430,28
424,488,45
424,494,41
430,423,7
430,424,49
430,429,17
430,434,47
428,423,9
428,427,30
428,488,29
428,496,17
494,424,3
494,505,27
494,507,19
1396,425,31
1396,1397,8
1396,1686,39
427,426,9
427,428,15
427,432,45
432,427,16
432,456,40
432,515,7
496,428,7
496,456,27
496,495,20
429,430,16
429,431,27
429,434,19
431,429,39
431,443,26
431,10838,31
434,429,16
434,430,43
434,433,45
434,443,43
443,431,43
443,433,49
443,434,14
443,492,47
10838,431,31
456,432,4
456,455,36
456,496,4
515,432,17
515,440,39
515,511,40
433,434,27
433,443,10
433,492,14
433,10725,26
492,433,23
492,443,35
492,493,28
492,527,1
10725,433,17
10725,590,38
10725,10727,44
435,436,32
435,437,37
435,438,13
436,435,36
436,527,29
436,529,49
437,435,25
438,435,22
438,536,10
438,600,39
438,1062473,27
527,436,20
527,492,20
527,528,1
529,436,18
536,438,7
536,534,14
536,594,35
536,1062554,49
600,438,17
600,599,18
600,1062530,13
1062473,438,2
1062473,1090015,27
1062473,1090016,32
439,440,19
439,452,2
439,508,17
440,439,19
440,515,13
440,601,37
452,439,34
452,451,36
452,516,19
601,440,43
601,10843,48
601,10844,28
441,442,16
441,445,36
441,4582,13
442,441,11
4582,441,49
4582,10903,17
4582,10904,46
445,441,29
445,444,27
445,10263,29
444,445,9
444,446,9
444,10283,45
446,444,12
10283,444,44
10283,4620,43
10283,10263,40
10263,445,10
10263,4594,28
10263,4950,32
10263,10283,33
447,448,37
447,3791,35
447,1087521,5
448,447,39
448,3862,39
448,4285,19
448,1068257,11
3791,447,4
3791,1307,25
3791,3790,31
3791,1068256,19
1087521,447,25
4285,448,4
4285,3790,9
4285,3861,50
4285,4286,44
1068257,448,12
449,450,26
449,485,30
449,4587,29
450,449,14
450,6748,13
450,6792,39
485,449,36
485,5907,13
485,5909,23
485,9113,49
4587,449,29
4587,5907,27
4587,6820,35
6748,450,28
6748,6749,3
6748,6754,26
6792,450,14
6792,6793,20
6792,6834,6
451,452,27
516,452,45
453,454,41
453,8265,27
453,1067915,8
454,453,28
454,498,11
454,7530,15
8265,453,29
8265,576,21
8265,8465,39
1067915,453,2
498,454,33
498,499,35
498,8942,50
7530,454,2
7530,7529,37
7530,8465,25
455,456,45
455,457,16
455,462,39
457,455,25
457,458,21
457,521,5
462,455,24
462,522,25
462,587,12
462,588,1
458,457,15
458,459,34
458,461,18
458,520,47
521,457,27
521,460,49
521,522,26
461,458,33
461,459,2
461,460,22
459,458,29
459,460,34
459,461,2
520,458,11
460,459,38
460,461,21
460,521,30
522,462,26
522,521,40
522,523,46
587,462,49
587,585,35
587,588,7
587,1060651,8
588,462,45
588,587,35
588,589,5
588,1060648,6
463,464,49
463,467,18
463,580,16
464,463,6
464,538,26
464,539,37
467,463,33
580,463,34
580,469,27
580,581,45
580,1060691,10
538,464,45
539,464,19
465,466,47
465,7912,32
465,8788,5
466,465,7
7912,465,31
7912,7913,13
7912,7916,40
8788,465,2
468,469,47
468,470,20
468,7936,38
469,468,22
469,579,9
469,580,31
469,1061959,29
470,468,50
7936,468,32
7936,7916,29
7936,7957,12
579,469,41
579,577,22
579,7957,19
579,1061959,27
1061959,469,30
1061959,579,50
1061959,1060690,31
1061959,1060691,10
471,472,15
471,475,29
472,471,19
472,573,47
475,471,25
475,484,18
475,575,38
573,472,14
573,574,41
573,576,27
573,1060791,3
473,474,25
473,1580,26
473,2491,23
473,3499,29
474,473,21
474,2491,39
474,3500,46
1580,473,38
1580,3500,29
1580,4421,45
2491,473,13
2491,474,37
2491,3499,36
3499,473,46
3499,2491,48
3499,3498,24
3500,474,47
3500,1580,34
3500,7670,17
484,475,21
484,8563,29
575,475,35
575,572,34
575,8039,14
575,1060920,26
476,477,2
476,497,17
476,4645,18
477,476,2
477,500,37
477,530,50
477,4658,45
497,476,16
497,4659,1
497,4979,45
497,497225,50
4645,476,1
4645,500,5
4645,5069,48
4645,497321,29
500,477,37
500,4645,13
500,4646,45
500,4647,39
4658,477,24
4658,4657,9
4658,4659,22
530,477,43
530,531,29
530,4657,27
530,4662,1
478,479,28
478,775,14
478,776,44
478,807,10
479,478,2
775,478,32
775,776,32
775,1049,45
775,389113,46
776,478,23
776,775,11
776,1053,38
776,389115,25
807,478,36
807,798,49
807,809,25
480,481,38
481,480,9
481,554,14
481,556,46
481,1062471,3
554,481,26
554,553,17
554,555,19
554,1061350,16
556,481,20
556,555,17
556,557,29
556,1061215,46
1062471,481,26
482,483,48
483,482,45
483,548,35
483,550,22
483,1061691,43
548,483,9
548,547,16
548,549,44
548,1061767,29
550,483,38
550,551,18
550,552,18
550,1061691,13
1061691,483,7
1061691,550,26
1061691,1061685,15
8563,484,42
8563,8010,15
8563,8021,15
8563,8039,23
5909,485,31
5909,5907,50
5909,9113,35
5907,485,40
5907,4587,38
5907,5909,18
9113,485,47
9113,5909,46
596,487,11
596,491,2
602,489,20
602,603,13
602,604,5
602,1062479,39
