[13, 10, 4, 9, 5, 6, 8, 14, 12, 1]
[13, 10, 4, 9, 5, 3, 8, 11, 14, 12]
[13, 10, 9, 5, 3, 11, 0, 12, 2, 1]
[4, 9, 5, 6, 11, 14, 7, 0, 12, 1]
[13, 4, 5, 6, 3, 8, 11, 14, 0, 1]
[13, 10, 4, 9, 5, 6, 3, 8, 11, 14]
[4, 9, 5, 3, 8, 7, 0, 12, 2, 1]
[9, 5, 6, 3, 8, 11, 14, 7, 2, 1]
[10, 4, 9, 6, 8, 11, 14, 0, 12, 2]
[13, 10, 4, 9, 8, 11, 14, 7, 2, 1]
[13, 10, 9, 5, 3, 8, 14, 7, 12, 2]
[13, 10, 4, 5, 6, 14, 7, 0, 12, 1]
[13, 10, 4, 9, 5, 6, 8, 11, 14, 0]
[10, 4, 9, 6, 3, 11, 14, 7, 12, 1]
[4, 5, 6, 8, 11, 14, 7, 0, 12, 2]
[13, 4, 9, 5, 3, 8, 11, 7, 0, 2]
[13, 4, 9, 6, 3, 8, 11, 14, 12, 1]
[13, 4, 6, 3, 8, 11, 14, 7, 2, 1]
[5, 6, 3, 8, 11, 14, 7, 12, 2, 1]
[13, 10, 9, 5, 6, 3, 8, 7, 0, 2]
[10, 9, 5, 6, 8, 11, 14, 7, 0, 12]
[13, 10, 5, 6, 3, 8, 14, 0, 12, 1]
[10, 9, 5, 6, 3, 11, 7, 0, 2, 1]
[10, 4, 5, 6, 3, 8, 11, 0, 12, 2]
[13, 4, 9, 6, 11, 14, 7, 0, 12, 2]
[13, 4, 9, 5, 6, 8, 11, 7, 2, 1]
[13, 5, 6, 3, 8, 7, 0, 12, 2, 1]
[13, 10, 4, 9, 8, 14, 7, 0, 12, 2]
[13, 10, 9, 5, 3, 11, 14, 12, 2, 1]
[13, 4, 9, 5, 8, 11, 7, 0, 12, 1]
[13, 10, 9, 6, 3, 8, 11, 7, 12, 2]
[10, 4, 9, 3, 8, 11, 14, 7, 0, 1]
[13, 10, 9, 5, 3, 11, 14, 0, 2, 1]
[13, 10, 4, 9, 5, 8, 11, 14, 7, 2]
[13, 10, 4, 9, 5, 8, 7, 0, 2, 1]
[10, 4, 9, 5, 3, 11, 0, 12, 2, 1]
[13, 10, 4, 5, 8, 11, 7, 0, 2, 1]
[10, 4, 9, 5, 6, 3, 8, 11, 14, 12]
